candidate_location,x,y
1,43500,26000
2,45500,26500
3,47200,29000
4,48300,29000
5,49300,29500
6,50100,30400
7,52000,30300
8,48400,27700
9,48700,27000
10,48600,25300
11,50300,28700
12,50600,26500
13,51100,27000
14,51700,26200
15,52600,26300
16,52600,27600
17,51800,27800
18,51300,29000
19,52500,23500
20,50500,25500
21,46900,24500
22,48200,23500
23,49500,23400
24,49500,22200
25,45500,22100
26,45900,19000
27,44900,16700
28,48100,20700
29,50800,20000
30,45700,14000
31,47600,12800
32,50100,14000
